"site","plot","site_plot","PECI_cover","ALL_cover","sample_number","sub_plot","sample_biomass_g_m2","percC","percN","herbcarb_g_m2","herbnit_g_m2"
"RR",3,"RR_03",0,36.23,16,1,136.35,43.87,0.9,59.816745,1.22715
"RR",3,"RR_03",0,36.23,17,2,127.6,43.85,0.97,55.9526,1.23772
"RR",3,"RR_03",0,36.23,18,3,256.95,44.41,1.19,114.111495,3.057705
"RR",3,"RR_03",0,36.23,19,4,235.05,42.39,1.26,99.637695,2.96163
"RR",3,"RR_03",0,36.23,20,5,36.65,42.87,1.95,15.711855,0.714675
"RR",3,"RR_03",0,36.23,21,6,109.1,42.64,1.06,46.52024,1.15646
"RR",3,"RR_03",0,36.23,22,7,113.55,44.56,0.95,50.59788,1.078725
"RR",3,"RR_03",0,36.23,23,8,692.1,42.86,1.23,296.63406,8.51283
"LOLA",6,"LOLA_06",0,45.5,91,2,80.3,45.24,1.68,36.32772,1.34904
"LOLA",6,"LOLA_06",0,45.5,92,4,86.25,46.7,0.89,40.27875,0.767625
"LOLA",6,"LOLA_06",0,45.5,93,5,41.8,49.13,1.18,20.53634,0.49324
"LOLA",6,"LOLA_06",0,45.5,94,6,37.65,46.82,1.47,17.62773,0.553455
"RR",6,"RR_06",0.47,63.27,40,1,4.35,46.07,0.63,2.004045,0.027405
"RR",6,"RR_06",0.47,63.27,41,2,1.25,44.26,1.54,0.55325,0.01925
"RR",6,"RR_06",0.47,63.27,42,3,396.35,45.79,1.32,181.488665,5.23182
"RR",6,"RR_06",0.47,63.27,43,4,92.4,43.71,2.62,40.38804,2.42088
"RR",6,"RR_06",0.47,63.27,44,5,249.2,46.38,1.17,115.57896,2.91564
"RR",6,"RR_06",0.47,63.27,45,6,223.35,47.02,1.65,105.01917,3.685275
"RR",6,"RR_06",0.47,63.27,46,7,89.25,44.9,1.56,40.07325,1.3923
"RR",6,"RR_06",0.47,63.27,47,8,8.9,45.36,0.97,4.03704,0.08633
"LOLA",2,"LOLA_02",7.1,50.2,64,2,76.1,44.36,1.3,33.75796,0.9893
"LOLA",2,"LOLA_02",7.1,50.2,65,3,358.5,43.89,0.96,157.34565,3.4416
"LOLA",2,"LOLA_02",7.1,50.2,66,4,54.7,46.48,0.96,25.42456,0.52512
"LOLA",2,"LOLA_02",7.1,50.2,67,5,89.1,46.82,1.64,41.71662,1.46124
"LOLA",2,"LOLA_02",7.1,50.2,68,6,4.7,46.14,0.75,2.16858,0.03525
"LOLA",2,"LOLA_02",7.1,50.2,69,7,35.8,45.82,1.03,16.40356,0.36874
"LOLA",2,"LOLA_02",7.1,50.2,70,8,61.85,46.44,0.84,28.72314,0.51954
"RR",1,"RR_01",11.48,39.02,1,1,232.25,45.9,1.17,106.60275,2.717325
"RR",1,"RR_01",11.48,39.02,2,2,452.25,43.34,1.36,196.00515,6.1506
