plot,subplot,datasheet_number,subplot_size,individual_number,species_raw,genus,species,usda_code,growthform,bole_total,bole_n,arm_total,arm_n,measurement_variable,measurement,units,status,total_minishrub,notes,unknown_status,scientific_name_clean,measurement_variable_clean
LOLA_01,whole plot,1,NA,1,CAGI,NA,NA,NA,NA,NA,NA,0,NA,AlphaUp,38,NA,alive,NA,NA,NA,Carnegiea gigantea,AlphaUp
LOLA_01,whole plot,1,NA,1,CAGI,NA,NA,NA,NA,NA,NA,0,NA,AlphaDown,30.5,NA,alive,NA,NA,NA,Carnegiea gigantea,AlphaDown
LOLA_01,whole plot,1,NA,1,CAGI,NA,NA,NA,NA,NA,NA,0,NA,Distance,285,cm,alive,NA,NA,NA,Carnegiea gigantea,Distance
LOLA_01,whole plot,1,NA,1,CAGI,NA,NA,NA,NA,NA,NA,0,NA,Height,458,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_01,whole plot,1,NA,1,CAGI,NA,NA,NA,NA,NA,NA,0,NA,ddh,27,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_01,whole plot,1,NA,2,CAGI,NA,NA,NA,NA,NA,NA,0,NA,Height,211,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_01,whole plot,1,NA,2,CAGI,NA,NA,NA,NA,NA,NA,0,NA,ddh,14,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_01,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,2,1,ArmLength1,43,cm,alive,NA,NA,NA,Carnegiea gigantea,ArmLength1
LOLA_01,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,2,2,ArmLength2,28,cm,alive,NA,NA,NA,Carnegiea gigantea,ArmLength2
LOLA_01,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,2,NA,Distance,420,cm,alive,NA,NA,NA,Carnegiea gigantea,Distance
LOLA_01,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,2,NA,AlphaUp,55,NA,alive,NA,NA,NA,Carnegiea gigantea,AlphaUp
LOLA_01,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,2,NA,AlphaDown,54,NA,alive,NA,NA,NA,Carnegiea gigantea,AlphaDown
LOLA_01,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,2,NA,Height,1178,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_01,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,2,NA,ddh,22,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_01,whole plot,1,NA,4,CAGI,NA,NA,NA,NA,NA,NA,0,NA,Height,175,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_01,whole plot,1,NA,4,CAGI,NA,NA,NA,NA,NA,NA,0,NA,ddh,17,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_01,whole plot,1,NA,5,CAGI,NA,NA,NA,NA,NA,NA,0,NA,Height,53,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_01,whole plot,1,NA,5,CAGI,NA,NA,NA,NA,NA,NA,0,NA,ddh,23,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_01,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,0,NA,Height,319,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_01,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,0,NA,ddh,19,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_01,whole plot,7,NA,1,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,Height,151,cm,alive,67,NA,NA,Lycium sp. (2),Height
LOLA_01,whole plot,7,NA,1,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,crownD,200,cm,alive,67,NA,NA,Lycium sp. (2),maxD
LOLA_01,whole plot,7,NA,1,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,197,cm,alive,67,NA,NA,Lycium sp. (2),max90D
LOLA_01,whole plot,7,NA,1,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,dbh,0.1,cm,alive,67,NA,NA,Lycium sp. (2),dbh
LOLA_01,whole plot,7,NA,1,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,ddh,1.1,cm,alive,67,NA,NA,Lycium sp. (2),ddh
LOLA_01,whole plot,7,NA,2,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,Height,100,cm,alive,67,NA,NA,Lycium sp. (2),Height
LOLA_01,whole plot,7,NA,2,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,crownD,151,cm,alive,67,NA,NA,Lycium sp. (2),maxD
LOLA_01,whole plot,7,NA,2,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,95,cm,alive,67,NA,NA,Lycium sp. (2),max90D
LOLA_01,whole plot,7,NA,2,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,dbh,0.1,cm,alive,67,NA,NA,Lycium sp. (2),dbh
LOLA_01,whole plot,7,NA,2,Lycium sp 2,NA,NA,NA,NA,NA,NA,NA,NA,ddh,1.2,cm,alive,67,NA,NA,Lycium sp. (2),ddh
LOLA_01,whole plot,7,NA,3,ENFO,NA,NA,NA,NA,NA,NA,NA,NA,Height,74,cm,alive,67,NA,NA,Encelia farinosa,Height
LOLA_01,whole plot,7,NA,3,ENFO,NA,NA,NA,NA,NA,NA,NA,NA,crownD,112,cm,alive,67,NA,NA,Encelia farinosa,maxD
LOLA_01,whole plot,7,NA,3,ENFO,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,68,cm,alive,67,NA,NA,Encelia farinosa,max90D
LOLA_01,whole plot,7,NA,3,ENFO,NA,NA,NA,NA,NA,NA,NA,NA,dbh,0.1,cm,alive,67,NA,NA,Encelia farinosa,dbh
LOLA_01,whole plot,7,NA,3,ENFO,NA,NA,NA,NA,NA,NA,NA,NA,ddh,1,cm,alive,67,NA,NA,Encelia farinosa,ddh
LOLA_01,1,3,25,1,FEWI,NA,NA,NA,NA,NA,NA,NA,NA,Height,44,cm,alive,NA,NA,NA,Ferocactus wislizeni,Height
LOLA_01,1,3,25,1,FEWI,NA,NA,NA,NA,NA,NA,NA,NA,MaxDiameter,32,cm,alive,NA,NA,NA,Ferocactus wislizeni,maxD
LOLA_01,2,3,25,1,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,Height,148,cm,alive,NA,NA,NA,Cylindropuntia versicolor,Height
LOLA_01,2,3,25,1,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,maxBaseCrownDiameter,10,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxDbase
LOLA_01,2,3,25,1,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crownD,145,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxD
LOLA_01,2,3,25,1,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,70,cm,alive,NA,NA,NA,Cylindropuntia versicolor,max90D
LOLA_01,2,3,25,2,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,Height,122,cm,alive,NA,NA,NA,Cylindropuntia versicolor,Height
LOLA_01,2,3,25,2,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,maxBaseCrownDiameter,4,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxDbase
LOLA_01,2,3,25,2,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crownD,97,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxD
LOLA_01,2,3,25,2,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,103,cm,alive,NA,NA,NA,Cylindropuntia versicolor,max90D
LOLA_01,2,3,25,3,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,Height,131,cm,alive,NA,NA,NA,Cylindropuntia versicolor,Height
LOLA_01,2,3,25,3,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,maxBaseCrownDiameter,9,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxDbase
LOLA_01,2,3,25,3,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crownD,153,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxD
LOLA_01,2,3,25,3,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,145,cm,alive,NA,NA,NA,Cylindropuntia versicolor,max90D
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,1,NA,NA,ddh,5.5,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,1,NA,NA,dbh,3,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,2,NA,NA,ddh,5.25,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,2,NA,NA,dbh,1.5,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,3,NA,NA,ddh,9,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,3,NA,NA,dbh,2.75,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,NA,NA,NA,crown90D,189,cm,alive,NA,NA,NA,Parkinsonia microphylla,max90D
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,NA,NA,NA,crownD,349,cm,alive,NA,NA,NA,Parkinsonia microphylla,maxD
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,NA,NA,NA,basecrownheight,51,cm,alive,NA,NA,NA,Parkinsonia microphylla,basecrownheight
LOLA_01,3,3,25,1,PAMI,NA,NA,NA,NA,3,NA,NA,NA,Height,260,cm,alive,NA,NA,NA,Parkinsonia microphylla,Height
LOLA_01,3,3,25,3,FOSP,NA,NA,NA,NA,NA,NA,NA,NA,EmergentStems,11,NA,alive,NA,NA,NA,Fouquieria splendens,EmergentStems
LOLA_01,3,3,25,3,FOSP,NA,NA,NA,NA,NA,NA,NA,NA,maxBaseCrownDiameter,18,cm,alive,NA,NA,NA,Fouquieria splendens,maxDbase
LOLA_01,3,3,25,3,FOSP,NA,NA,NA,NA,NA,NA,NA,NA,Height,362,cm,alive,NA,NA,NA,Fouquieria splendens,Height
LOLA_01,3,3,25,3,FOSP,NA,NA,NA,NA,NA,NA,NA,NA,ninetyBaseCrownDiameter,12,cm,alive,NA,NA,NA,Fouquieria splendens,max90Dbase
LOLA_01,3,3,25,4,CYBI,NA,NA,NA,NA,NA,NA,NA,NA,Height,117,cm,alive,NA,NA,NA,Cylindropuntia bigelovii,Height
LOLA_01,3,3,25,4,CYBI,NA,NA,NA,NA,NA,NA,NA,NA,maxBaseCrownDiameter,15,cm,alive,NA,NA,NA,Cylindropuntia bigelovii,maxDbase
LOLA_01,3,3,25,4,CYBI,NA,NA,NA,NA,NA,NA,NA,NA,crownD,98,cm,alive,NA,NA,NA,Cylindropuntia bigelovii,maxD
LOLA_01,3,3,25,4,CYBI,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,71,cm,alive,NA,NA,NA,Cylindropuntia bigelovii,max90D
LOLA_01,3,3,25,5,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,9.9,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,3,3,25,5,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,dbh,2.2,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,3,3,25,5,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crownD,363,cm,alive,NA,NA,NA,Parkinsonia microphylla,maxD
LOLA_01,3,3,25,5,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,375,cm,alive,NA,NA,NA,Parkinsonia microphylla,max90D
LOLA_01,3,3,25,5,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,Height,246,cm,alive,NA,NA,NA,Parkinsonia microphylla,Height
LOLA_01,3,3,25,5,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,basecrownheight,0,NA,alive,NA,NA,NA,Parkinsonia microphylla,basecrownheight
LOLA_01,4,3,25,1,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,Height,115,cm,alive,NA,NA,NA,Cylindropuntia versicolor,Height
LOLA_01,4,3,25,1,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,maxBaseCrownDiameter,2,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxDbase
LOLA_01,4,3,25,1,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crownD,121,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxD
LOLA_01,4,3,25,1,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,52,cm,alive,NA,NA,NA,Cylindropuntia versicolor,max90D
LOLA_01,4,3,25,2,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,Height,200,cm,alive,NA,NA,NA,Parkinsonia microphylla,Height
LOLA_01,4,3,25,2,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,dbh,1.6,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,4,3,25,2,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,9.4,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,4,3,25,2,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crownD,121,cm,alive,NA,NA,NA,Parkinsonia microphylla,maxD
LOLA_01,4,3,25,2,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,52,cm,alive,NA,NA,NA,Parkinsonia microphylla,max90D
LOLA_01,4,3,25,3,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,Height,195,cm,alive,NA,NA,NA,Parkinsonia microphylla,Height
LOLA_01,4,3,25,3,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,dbh,1.5,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
