site,plot,site_plot,PECI_cover,ALL_cover,TotalC_g_m2
RR,3,RR_03,0,36.23,19.974933245161544
LOLA,6,LOLA_06,0,45.5,55.26416484887058
RR,6,RR_06,0.47,63.27,71.48925943243565
LOLA,2,LOLA_02,7.1,50.2,47.34849697520472
RR,1,RR_01,11.48,39.02,50.32881035530876
RR,5,RR_05,15.93,40.03,50.51735347692004
LOLA,3,LOLA_03,19.73,25.62,213.58670185025926
RR,7,RR_07,20.37,42.38,90.74520385875886
LOLA,1,LOLA_01,22.22,26.58,142.38108848608573
RR,4,RR_04,26.68,34.63,99.65642226894619
LOLA,4,LOLA_04,55.47,8.45,26.27843654416514
LOLA,5,LOLA_05,64.25,7.71,4.7529758285223895
RR,2,RR_02,67.82,14.18,6.698991442649561
