sample_number,plot_name,cover_type,rep
1,rr_01,bare,1
2,rr_01,bare,2
3,rr_01,bare,3
4,rr_01,buffel,1
5,rr_01,buffel,2
6,rr_01,buffel,3
7,rr_01,other,1
8,rr_01,other,2
9,rr_01,other,3
10,rr_02,bare,1
11,rr_02,bare,2
12,rr_02,bare,3
13,rr_02,buffel,1
14,rr_02,buffel,2
15,rr_02,buffel,3
16,rr_02,other,1
17,rr_02,other,2
18,rr_02,other,3
19,rr_03,bare,1
20,rr_03,bare,2
21,rr_03,bare,3
22,rr_03,other,1
23,rr_03,other,2
24,rr_03,other,3
25,rr_04,bare,1
26,rr_04,bare,2
27,rr_04,bare,3
28,rr_04,buffel,1
29,rr_04,buffel,2
30,rr_04,buffel,3
31,rr_04,other,1
32,rr_04,other,2
33,rr_04,other,3
34,rr_05,bare,1
35,rr_05,bare,2
36,rr_05,bare,3
37,rr_05,buffel,1
38,rr_05,buffel,2
39,rr_05,buffel,3
40,rr_05,other,1
41,rr_05,other,2
42,rr_05,other,3
43,rr_06,bare,1
44,rr_06,bare,2
45,rr_06,bare,3
46,rr_06,other,1
47,rr_06,other,2
48,rr_06,other,3
49,rr_07,bare,1
50,rr_07,bare,2
51,rr_07,bare,3
52,rr_07,buffel,1
53,rr_07,buffel,2
54,rr_07,buffel,3
55,rr_07,other,1
56,rr_07,other,2
57,rr_07,other,3
58,lola_01,bare,1
59,lola_01,bare,2
60,lola_01,bare,3
61,lola_01,buffel,1
62,lola_01,buffel,2
63,lola_01,buffel,3
64,lola_01,other,1
65,lola_01,other,2
66,lola_01,other,3
67,lola_02,bare,1
68,lola_02,bare,2
69,lola_02,bare,3
70,lola_02,buffel,1
71,lola_02,buffel,2
72,lola_02,buffel,3
73,lola_02,other,1
74,lola_02,other,2
75,lola_02,other,3
76,lola_03,bare,1
77,lola_03,bare,2
78,lola_03,bare,3
79,lola_03,buffel,1
80,lola_03,buffel,2
81,lola_03,buffel,3
82,lola_03,other,1
83,lola_03,other,2
84,lola_03,other,3
85,lola_04,bare,1
86,lola_04,bare,2
87,lola_04,bare,3
88,lola_04,buffel,1
89,lola_04,buffel,2
90,lola_04,buffel,3
91,lola_04,other,1
92,lola_04,other,2
93,lola_04,other,3
94,lola_05,bare,1
95,lola_05,bare,2
96,lola_05,bare,3
97,lola_05,buffel,1
98,lola_05,buffel,2
99,lola_05,buffel,3
100,lola_05,other,1
101,lola_05,other,2
102,lola_05,other,3
103,lola_06,bare,1
104,lola_06,bare,2
105,lola_06,bare,3
106,lola_06,other,1
107,lola_06,other,2
108,lola_06,other,3
