plot_id,cover_type,bag label,type,dry_weight,bag_number,bag_count,tin_number,tin_count,tin_weight,net_dry_weight,notes,additional_weight
lola_01,buffel,w,pit,333.45,1,2,1,1,10.52,322.93,,
lola_01,other,NA,pit,894.34,2,2,1,2,10.52,883.82,,
lola_01,other,NA,pit,758.59,2,2,2,2,10.52,748.07,,
lola_02,buffel,w,pit,277.19,2,2,1,1,10.52,266.67,,
lola_02,bare,w,pit,227.02,1,2,1,1,10.52,216.5,,
lola_02,bare,NA,pit,975.04,2,2,1,2,10.52,964.52,,
lola_02,bare,NA,pit,752.9,2,2,2,2,10.52,742.38,,
lola_02,buffel,NA,pit,582.9,1,2,1,2,10.52,572.38,,
lola_02,buffel,NA,pit,538.72,1,2,2,2,10.52,528.2,,
lola_02,other,w,pit,623.45,2,2,1,2,10.52,612.93,,
lola_02,other,w,pit,474.99,2,2,2,2,10.52,464.47,,
lola_02,other,w,pit,194.27,1,2,1,1,10.52,183.75,,
lola_03,bare,w,pit,280.77,1,2,1,1,10.52,270.25,,
lola_03,other,NA,pit,775.55,2,2,1,2,10.52,765.03,,
lola_03,other,NA,pit,467.22,2,2,2,2,10.52,456.7,,
lola_03,buffel,NA,pit,490.34,2,2,1,2,10.52,479.82,,
lola_03,buffel,NA,pit,841.79,2,2,2,2,10.52,831.27,,
lola_03,other,w,pit,243.17,?,?,1,1,10.52,232.65,no bag number - possibly multiple bags,
lola_03,buffel,w,pit,242.74,1,2,1,1,10.52,232.22,,
lola_04,buffel,w,pit,242.17,1,2,1,1,10.52,231.65,,
lola_04,bare,w,pit,211.24,1,2,1,1,10.52,200.72,,
lola_04,buffel,NA,pit,873.73,2,2,1,2,10.52,863.21,,
lola_04,buffel,NA,pit,499.15,2,2,2,2,10.52,488.63,,
lola_04,bare,NA,pit,982.04,2,2,1,2,10.52,971.52,,
lola_04,bare,NA,pit,947.57,2,2,2,2,10.52,937.05,,
lola_04,bare,NA,pit,751.72,2,2,1,2,10.52,741.2,,
lola_04,bare,NA,pit,608.42,2,2,2,2,10.52,597.9,,
lola_04,other,NA,pit,655.51,2,2,1,2,10.52,644.99,,
lola_04,other,NA,pit,666.36,2,2,2,2,10.52,655.84,,
lola_04,other,w,pit,270.54,1,2,1,1,10.52,260.02,,
lola_05,buffel,w,pit,205.09,2,2,1,1,10.52,194.57,,
lola_05,other,w,pit,325.18,2,2,1,1,10.52,314.66,,
lola_05,other,NA,pit,817.66,1,2,1,2,10.52,807.14,,
lola_05,other,NA,pit,636.72,1,2,2,2,10.52,626.2,,
lola_05,bare,NA,pit,719.36,1,2,1,2,10.52,708.84,,
lola_05,bare,NA,pit,710.49,1,2,2,2,10.52,699.97,,
lola_05,buffel,NA,pit,561.35,1,2,1,2,10.52,550.83,,
