Lab,Sample,TOC,C,N
9785,1 rr_01,1.32,1.38,0.13
9786,2 rr_01,0.69,1.00,0.11
9787,3 rr_01,0.64,0.96,0.07
9788,4 rr_01,0.15,0.54,0.02
9789,5 rr_01,0.11,0.34,0.03
9790,6 rr_01,1.07,1.25,0.12
9791,7 rr_01,0.98,1.37,0.12
9792,8 rr_01,0.84,0.91,0.10
9793,9 rr_01,1.05,1.31,0.13
9794,10 rr_02,0.40,1.19,0.06
9795,11 rr_02,0.40,0.94,0.05
9796,12 rr_02,0.14,0.37,0.03
9797,13 rr_02,1.59,2.46,0.16
9798,14 rr_02,0.17,0.40,0.02
9799,15 rr_02,0.35,0.82,0.04
9800,16 rr_02,0.79,1.06,0.08
9801,17 rr_02,2.10,2.51,0.23
9802,18 rr_02,0.66,1.07,0.07
9803,19 rr_03,0.70,0.85,0.08
9804,20 rr_03,0.54,0.74,0.07
9805,21 rr_03,0.53,2.04,0.06
9806,22 rr_03,0.76,1.37,0.10
9807,23 rr_03,0.58,1.14,0.06
9808,24 rr_03,0.70,0.93,0.08
9809,25 rr_04,0.69,0.80,0.03
9810,26 rr_04,1.31,1.33,0.11
9811,27 rr_04,0.78,0.83,0.17
9812,28 rr_04,0.90,0.82,0.04
9813,29 rr_04,1.51,2.04,0.12
9814,30 rr_04,0.98,1.08,0.09
9815,31 rr_04,0.96,1.09,0.11
9816,32 rr_04,0.97,1.12,0.10
9817,33 rr_04,1.27,1.86,0.14
9818,34 rr_05,0.45,0.45,0.04
9819,35 rr_05,0.70,0.94,0.08
9820,36 rr_05,0.46,0.47,0.04
9821,37 rr_05,0.55,0.70,0.08
9822,38 rr_05,0.81,1.08,0.10
9823,39 rr_05,0.70,0.86,0.07
9824,40 rr_05,0.68,0.77,0.08
9825,41 rr_05,0.86,1.15,0.12
9826,42 rr_05,0.90,0.98,0.08
9827,43 rr_06,0.66,0.72,0.06
9828,44 rr_06,0.56,0.66,0.06
9829,45 rr_06,0.70,0.93,0.09
9830,46 rr_06,1.01,1.42,0.13
9831,47 rr_06,1.14,0.95,0.08
9832,48 rr_06,0.74,1.05,0.08
9833,49 rr_07,0.90,1.06,0.09
9834,50 rr_07,2.13,3.05,0.25
9835,51 rr_07,0.70,1.00,0.10
9836,52 rr_07,2.03,2.30,0.22
9837,53 rr_07,1.05,1.44,0.12
9838,54 rr_07,1.50,1.70,0.14
9839,55 rr_07,3.49,5.10,0.39
9840,56 rr_07,2.41,3.14,0.28
9841,57 rr_07,1.31,1.80,0.15
9842,58 lola_01,0.43,0.60,0.04
9843,59 lola_01,0.60,0.78,0.06
9844,60 lola_01,1.10,1.12,0.10
9845,61 lola_01,0.62,0.64,0.06
9846,62 lola_01,0.86,0.98,0.08
9847,63 lola_01,1.09,1.38,0.13
9848,64 lola_01,0.89,1.15,0.11
9849,65 lola_01,0.69,0.74,0.06
9850,66 lola_01,0.85,0.90,0.06
9851,67 lola_02,0.35,0.44,0.03
9852,68 lola_02,0.65,0.82,0.07
9853,69 lola_02,0.91,1.21,0.10
9854,70 lola_02,0.73,0.76,0.07
9855,71 lola_02,0.62,0.76,0.08
9856,72 lola_02,1.13,0.96,0.09
9857,73 lola_02,0.67,0.92,0.09
9858,74 lola_02,1.26,1.66,0.14
9859,75 lola_02,0.77,0.72,0.09
9860,76 lola_03,0.43,0.40,0.05
9861,77 lola_03,0.42,0.53,0.05
9862,78 lola_03,0.72,0.79,0.08
9863,79 lola_03,1.08,1.28,0.11
9864,80 lola_03,0.38,0.61,0.07
9865,81 lola_03,0.52,0.70,0.07
9866,82 lola_03,1.01,1.36,0.13
9867,83 lola_03,0.78,1.12,0.10
9868,84 lola_03,0.99,1.21,0.10
9869,85 lola_04,0.94,1.52,0.10
9870,86 lola_04,0.78,0.73,0.06
9871,87 lola_04,0.62,0.80,0.07
9872,88 lola_04,1.77,1.85,0.16
9873,89 lola_04,0.61,0.74,0.05
9874,90 lola_04,0.81,0.98,0.08
9875,91 lola_04,1.56,1.79,0.15
9876,92 lola_04,0.57,0.72,0.06
9877,93 lola_04,2.40,2.04,0.17
9878,94 lola_05,0.47,1.35,0.11
9879,95 lola_05,0.97,0.57,0.05
9880,96 lola_05,0.39,0.53,0.05
9881,97 lola_05,1.32,1.50,0.13
9882,98 lola_05,0.73,0.89,0.09
9883,99 lola_05,1.28,1.26,0.11
9884,100 lola_05,1.26,1.39,0.12
9885,101 lola_05,0.76,1.16,0.09
9886,102 lola_05,0.69,1.01,0.10
9887,103 lola_06,0.54,0.62,0.07
9888,104 lola_06,0.42,0.47,0.05
9889,105 lola_06,1.05,1.36,0.12
9890,106 lola_06,0.52,0.80,0.07
9891,107 lola_06,1.10,1.31,0.13
9892,108 lola_06,0.73,0.80,0.07
