site_plot,weighted_bare,buffel_cover,weighted_buffel,other_cover,weighted_other,soil_TC,woody_gC_m2,herb_gC_m2,ecosystem_gC_m2,site,plot,PECI_cv,woody_C,shannon,simpson,richness,evenness,totalherb_raw,herb_C,slope,aspect,elevation,other_cv,bare_cover,bare_SOC,buffel_SOC,other_SOC,bare_TSC_g_m2,buffel_TSC_g_m2,other_TSC_g_m2,total_cover,fa,slope_aspect
LOLA_01,774.0330666666669,22.22,279.7573548,26.58,374.3942645400008,1428.1846860066676,142.38108848608573,139.929496875,1710.4952713677533,LOLA,1,22.22,142.38108848608573,1.4658032950717144,0.5520330741185289,24,0.46122670455560927,1119.435975,139.929496875,18,131,1051,26.58,51.2,1288.0394,1078.57246,1226.8071,1511.78333333333,1259.034,1408.5563,48.8,131,2358
LOLA_02,637.7851055333333,7.1,73.89690223999999,50.2,836.3492353333353,1548.0312431066686,47.34849697520472,38.19250875,1633.5722488318734,LOLA,2,7.1,47.34849697520472,1.8316120546547776,0.8030810069798915,22,0.5925548038542114,305.54007,38.19250875,16,146,1042,50.2,42.7,1155.00246666667,1040.80144,1363.119,1493.64193333333,1040.80144,1666.03433333334,57.300000000000004,146,2336
LOLA_03,568.4184390666666,19.73,214.458395746,25.62,477.2824866600011,1260.1593214726677,213.5867018502593,70.7173975,1544.463420822927,LOLA,3,19.73,213.5867018502593,1.712983208127054,0.7559090572666964,24,0.5390038368039568,565.73918,70.7173975,20,146,1040,25.62,54.65,949.399933333333,830.96244,1403.50771111111,1040.10693333333,1086.96602,1862.9293,45.35,146,2920
LOLA_04,665.4507405333333,55.47,831.079530162,8.45,194.105621305556,1690.6358920008893,26.27843654416514,301.61744,2018.5317685450543,LOLA,4,55.47,26.27843654416514,0.6971307225385545,0.30540460917128665,22,0.22553256160592192,2412.93952,301.61744,22,221,1043,8.45,36.08,1415.0292,1338.77282,2287.01076666667,1844.37566666667,1498.25046,2297.10794444445,63.92,139,3058
LOLA_05,415.4259657333335,64.25,984.19736975,7.71,138.57164838666696,1538.1949838700004,4.7529758285223895,374.0737725,1917.0217321985228,LOLA,5,64.25,4.7529758285223895,0.4296845390198016,0.15883563445712734,21,0.1411336417481302,2992.59018,374.0737725,18,202,1072,7.71,28.04,1106.6254,1397.52774,1368.16758888889,1481.54766666667,1531.8247,1797.29764444445,71.96,158,2844
LOLA_06,807.4434783333335,0,0,45.5,668.4584118333348,1475.9018901666682,55.26416484887058,14.3463175,1545.5123725155388,LOLA,6,0,55.26416484887058,2.1646560817577565,0.8506115961796092,29,0.6428470176219865,114.77054,14.3463175,18,215,999,45.5,54.5,1215.4738,NA,1186.41838888889,1481.54766666667,NA,1469.13936666667,45.5,145,2610
RR_01,600.2171811428548,11.48,68.859751576,39.02,550.2646573666668,1219.3415900855216,50.32881035530876,83.976760625,1353.6471610658305,RR,1,11.48,50.32881035530876,1.6767578978774849,0.7371756948275434,35,0.47161568118735864,671.814085,83.976760625,7,158,1170,39.02,49.5,962.061047619044,374.537753333333,1127.38383333333,1212.55996190476,599.82362,1410.21183333333,50.5,158,1106
RR_02,163.3688571428565,67.82,702.8288239573334,14.18,258.45451146666664,1124.652192566857,6.698991442649561,302.850743125,1434.201927134506,RR,2,67.82,6.698991442649561,1.6486984614848328,0.6464746678754003,30,0.48474060058199814,2422.805945,302.850743125,11,143,1150,14.18,18,341.259390476189,594.191473333333,1394.49916666667,907.604761904758,1036.31498666667,1822.66933333333,82,143,1573
RR_03,840.3879162799967,0,0,36.23,489.57212546666665,1329.9600417466634,19.974933245161544,92.37282125,1442.307796241825,RR,3,0,19.974933245161544,2.5089365597138036,0.8805187479081991,46,0.6553072747984507,738.98257,92.37282125,14,286,1133,36.23,63.77,642.584171428569,NA,801.346,1317.84211428571,NA,1351.28933333333,36.23,74,1036
RR_04,415.764302339046,26.68,296.0233759413333,34.63,553.6519154833335,1265.4395937637128,99.6564222689462,136.063554375,1501.159570407659,RR,4,26.68,99.6564222689462,1.930382178330225,0.7802546260127489,33,0.5520886611555326,1088.508435,136.063554375,20,214,1088,34.63,38.69,1009.25649523809,954.64886,1257.01333333333,1074.60403809523,1109.53289333333,1598.76383333333,61.31,146,2920
RR_05,297.3835980342846,15.93,118.430527248,40.03,456.00908383333336,871.823209115618,50.51735347692004,84.63437875,1006.974941342538,RR,5,15.93,50.51735347692004,1.945372991268941,0.7999853282994004,33,0.5563760286716001,677.07503,84.63437875,15,224,1030,40.03,44.04,584.497466666664,580.111106666667,958.472666666667,675.25794285714,743.44336,1139.16833333333,55.96,136,2040
RR_06,304.08607767999877,0,0,63.27,849.9900591,1154.0761367799987,71.48925943243565,61.1428025,1286.7081987124343,RR,6,0.47,71.48925943243565,1.4897935228428465,0.6615667275030759,35,0.4190288818638867,489.14242,61.1428025,11,225,1045,63.27,36.26,697.040457142854,NA,1135.24016666667,838.626799999997,NA,1343.433,63.74,135,1485
RR_07,691.041189666664,20.37,312.056971072,42.38,1671.4160614666669,2674.514222205331,90.74520385875886,107.930755625,2873.19018168909,RR,7,20.37,90.74520385875886,1.7950564847626782,0.7645698828125,25,0.5576656517454127,863.446045,107.930755625,17,147,998,42.38,37.25,1354.1463047619,1289.76158666667,2832.20816666667,1855.14413333333,1531.94389333333,3943.87933333333,62.75,147,2499
