Species,residual_correlation,prevalence
Lepidium_densiflorum,-0.7621101508996063,33
Janusia gracilis,-0.6241705712773953,25
Opuntia_engelmannii,-0.5728746857114128,14
Encelia_farinosa,-0.5596595674021682,39
perennial_graminoid,-0.5128128019093695,25
shrub,0.38487010614511574,24
moss_fern,-0.36586103864244734,17
Lycium_spp,0.34816018744887034,5
Mimosa_aculetecorpa,-0.24187750287056936,31
Cylindropuntia_spp,-0.24087142910029874,10
leguminous_shrub,0.2055523198458726,9
perennial_forb,0.1847762970852521,24
Mammillaria_grahamii,0.16139051258622103,6
leguminous_tree,-0.15333401390500648,22
Carnegiea_gigantea,0.12783208011554434,4
annual_forb,0.11986459251703944,19
Plantago_purshii,-0.11561534492608311,10
annual_graminoid,0.10690918891135247,2
Fouquieria_splendens,0.10380995197523281,13
Ferocactus_wislizeni,-0.0874638546666103,1
Cryptantha_spp,-0.04806993519996145,17
Eragrostis_lehmanniana,-0.03395050988878899,22
